country1,country2,value
afghanistan,albania,28
afghanistan,algeria,28
afghanistan,angola,25
afghanistan,antiguaandbarbuda,20
afghanistan,argentina,26
afghanistan,armenia,25
afghanistan,australia,32
afghanistan,austria,28
afghanistan,azerbaijan,31
afghanistan,bahamas,24
afghanistan,bahrain,23
afghanistan,bangladesh,43
afghanistan,barbados,22
afghanistan,belarus,23
afghanistan,belgium,27
afghanistan,belize,24
afghanistan,benin,29
afghanistan,bhutan,33
afghanistan,bolivia,24
afghanistan,bosnia,24
afghanistan,botswana,25
afghanistan,brazil,26
afghanistan,brunei,26
afghanistan,bulgaria,26
afghanistan,burkinafaso,28
afghanistan,burundi,25
afghanistan,cambodia,35
afghanistan,cameroon,28
afghanistan,canada,26
afghanistan,capeverde,24
afghanistan,chad,28
afghanistan,chile,26
afghanistan,china,36
afghanistan,colombia,27
afghanistan,comoros,26
afghanistan,congo,27
afghanistan,costarica,25
afghanistan,croatia,25
afghanistan,cuba,23
afghanistan,cyprus,24
afghanistan,czechia,23
afghanistan,denmark,27
afghanistan,djibouti,24
afghanistan,dominicanrepublic,26
afghanistan,dominica,22
afghanistan,ecuador,27
afghanistan,egypt,29
afghanistan,elsalvador,23
afghanistan,equatorialguinea,21
afghanistan,eritrea,21
afghanistan,estonia,24
afghanistan,ethiopia,25
afghanistan,northmacedonia,22
afghanistan,fiji,33
afghanistan,finland,28
afghanistan,france,29
afghanistan,gabon,29
afghanistan,gambia,28
afghanistan,georgia,28
afghanistan,germany,27
afghanistan,ghana,27
afghanistan,greece,26
afghanistan,grenada,20
afghanistan,guatemala,27
afghanistan,guinea,28
afghanistan,guineabissau,25
afghanistan,guyana,25
afghanistan,haiti,26
afghanistan,honduras,26
afghanistan,hungary,24
afghanistan,iceland,21
afghanistan,india,39
afghanistan,indonesia,35
afghanistan,iran,38
afghanistan,iraq,27
afghanistan,ireland,26
afghanistan,israel,25
afghanistan,italy,28
afghanistan,ivorycoast,29
afghanistan,jamaica,24
afghanistan,japan,32
afghanistan,jordan,29
afghanistan,kazakhstan,30
afghanistan,kenya,27
afghanistan,kiribati,17
afghanistan,kuwait,26
afghanistan,kyrgyzstan,28
afghanistan,laos,33
afghanistan,latvia,22
afghanistan,lebanon,26
afghanistan,lesotho,25
afghanistan,liberia,23
afghanistan,libya,27
afghanistan,liechtenstein,9
afghanistan,lithuania,24
afghanistan,luxembourg,25
afghanistan,madagascar,27
afghanistan,malawi,26
afghanistan,malaysia,37
afghanistan,maldives,38
afghanistan,mali,27
afghanistan,malta,25
afghanistan,marshallislands,20
afghanistan,mauritania,28
afghanistan,mauritius,26
afghanistan,mexico,26
afghanistan,micronesia,19
afghanistan,moldova,23
afghanistan,mongolia,32
afghanistan,morocco,28
afghanistan,montenegro,21
afghanistan,mozambique,28
afghanistan,myanmar,31
afghanistan,namibia,26
afghanistan,nauru,17
afghanistan,nepal,36
afghanistan,netherlands,28
afghanistan,newzealand,31
afghanistan,nicaragua,25
afghanistan,niger,27
afghanistan,nigeria,29
afghanistan,northkorea,20
afghanistan,norway,28
afghanistan,oman,25
afghanistan,pakistan,41
afghanistan,palau,14
afghanistan,panama,24
afghanistan,papuanewguinea,32
afghanistan,paraguay,24
afghanistan,peru,27
afghanistan,philippines,38
afghanistan,poland,25
afghanistan,portugal,28
afghanistan,qatar,26
afghanistan,romania,26
afghanistan,russia,24
afghanistan,rwanda,25
afghanistan,sanmarino,15
afghanistan,saotome,21
afghanistan,saudiarabia,27
afghanistan,senegal,29
afghanistan,sierraleone,28
afghanistan,singapore,27
afghanistan,slovakia,23
afghanistan,slovenia,24
afghanistan,southafrica,26
afghanistan,sourthkorea,39
afghanistan,southsudan,16
afghanistan,solomonislands,21
afghanistan,somalia,23
afghanistan,spain,28
afghanistan,srilanka,38
afghanistan,stkitts,18
afghanistan,saintlucia,20
afghanistan,sudan,28
afghanistan,suriname,25
afghanistan,swaziland,25
afghanistan,sweden,27
afghanistan,switzerland,27
afghanistan,syria,27
afghanistan,tajikistan,29
afghanistan,tanzania,27
afghanistan,thailand,38
afghanistan,togo,28
afghanistan,tunisia,29
afghanistan,turkey,30
afghanistan,turkmenistan,27
afghanistan,uae,27
afghanistan,uk,27
afghanistan,usa,23
afghanistan,uganda,27
afghanistan,ukraine,23
afghanistan,uruguay,25
afghanistan,uzbekistan,29
afghanistan,venezuela,27
afghanistan,vietnam,29
afghanistan,zambia,25
afghanistan,zimbabwe,24
albania,afghanistan,28
albania,algeria,41
albania,angola,32
albania,antiguaandbarbuda,26
albania,argentina,39
albania,armenia,37
albania,australia,39
albania,austria,48
albania,azerbaijan,40
albania,bahamas,31
albania,bahrain,31
albania,bangladesh,35
albania,barbados,29
albania,belarus,36
albania,belgium,51
albania,belize,33
albania,benin,38
albania,bhutan,21
albania,bolivia,33
albania,bosnia,45
albania,botswana,29
albania,brazil,36
albania,brunei,27
albania,bulgaria,52
albania,burkinafaso,37
albania,burundi,31
albania,cambodia,34
albania,cameroon,39
albania,canada,41
albania,capeverde,31
albania,chad,32
albania,chile,36
albania,china,37
albania,colombia,36
albania,comoros,32
albania,congo,35
albania,costarica,35
albania,croatia,50
albania,cuba,30
albania,cyprus,45
albania,czechia,46
albania,denmark,49
albania,djibouti,31
albania,dominicanrepublic,35
albania,dominica,30
albania,ecuador,37
albania,egypt,41
albania,elsalvador,29
albania,equatorialguinea,26
albania,eritrea,24
albania,estonia,44
albania,ethiopia,27
albania,northmacedonia,45
albania,fiji,31
albania,finland,49
albania,france,52
albania,gabon,36
albania,gambia,34
albania,georgia,43
albania,germany,46
albania,ghana,34
albania,greece,52
albania,grenada,27
albania,guatemala,33
albania,guinea,36
albania,guineabissau,30
albania,guyana,33
albania,haiti,34
albania,honduras,32
albania,hungary,47
albania,iceland,43
albania,india,36
albania,indonesia,33
albania,iran,35
albania,iraq,32
albania,ireland,45
albania,israel,42
albania,italy,51
albania,ivorycoast,38
albania,jamaica,31
albania,japan,39
albania,jordan,43
albania,kazakhstan,36
albania,kenya,37
albania,kiribati,16
albania,kuwait,33
albania,kyrgyzstan,34
albania,laos,31
albania,latvia,43
albania,lebanon,37
albania,lesotho,29
albania,liberia,28
albania,libya,34
albania,liechtenstein,19
albania,lithuania,46
albania,luxembourg,47
albania,madagascar,36
albania,malawi,31
albania,malaysia,37
albania,maldives,31
albania,mali,33
albania,malta,45
albania,marshallislands,20
albania,mauritania,38
albania,mauritius,38
albania,mexico,37
albania,micronesia,15
albania,moldova,43
albania,mongolia,35
albania,morocco,45
albania,montenegro,44
albania,mozambique,35
albania,myanmar,26
albania,namibia,34
albania,nauru,13
albania,nepal,30
albania,netherlands,49
albania,newzealand,37
albania,nicaragua,35
albania,niger,33
albania,nigeria,37
albania,northkorea,19
albania,norway,50
albania,oman,34
albania,pakistan,38
albania,palau,15
albania,panama,36
albania,papuanewguinea,29
albania,paraguay,33
albania,peru,36
albania,philippines,36
albania,poland,49
albania,portugal,49
albania,qatar,34
albania,romania,54
albania,russia,42
albania,rwanda,32
albania,sanmarino,22
albania,saotome,26
albania,saudiarabia,36
albania,senegal,40
albania,sierraleone,35
albania,singapore,28
albania,slovakia,46
albania,slovenia,48
albania,southafrica,38
albania,sourthkorea,39
albania,southsudan,18
albania,solomonislands,20
albania,somalia,25
albania,spain,49
albania,srilanka,35
albania,stkitts,25
albania,saintlucia,28
albania,sudan,35
albania,suriname,31
albania,swaziland,31
albania,sweden,48
albania,switzerland,51
albania,syria,33
albania,tajikistan,32
